1,0,16,3,386
2,0,57,4,582
4,1,1,1,624
5,0,41,1,160
6,0,41,2,743
7,0,13,6,277
9,0,76,4,940
10,0,58,4,874
11,1,32,3,540
12,1,13,3,152
13,0,36,6,517
14,0,9,1,153
15,1,65,1,132
16,1,22,4,205
17,0,63,3,358
18,0,36,2,941
20,1,13,4,972
21,1,37,1,245
22,1,27,4,96
23,0,41,1,703
24,1,12,2,724
25,0,44,3,770
26,0,7,2,407
27,1,29,2,874
30,0,58,6,941
32,1,65,1,612
34,1,60,1,156
35,1,5,2,17
37,1,52,2,203
38,1,53,4,736
39,1,61,1,810
41,1,7,1,389
42,0,33,4,786
43,0,65,4,153
44,1,47,3,374
45,1,43,1,291
46,0,37,3,793
47,0,12,2,740
48,0,78,3,767
49,0,45,1,371
50,0,4,4,742
51,1,18,2,992
52,1,77,6,873
53,0,10,2,401
55,1,45,1,991
56,1,73,4,544
57,1,59,1,378
59,1,53,6,147
60,1,66,3,540
61,1,12,4,316
62,1,8,4,501
63,0,5,2,504
64,0,43,3,332
65,1,52,2,751
66,0,23,3,303
67,1,25,1,849
68,1,53,6,65
69,1,7,6,522
70,1,11,4,40
71,0,6,6,848
72,0,70,6,928
73,1,48,4,733
74,0,15,6,513
75,0,63,3,878
76,1,42,2,923
77,0,55,6,971
78,0,76,2,696
81,1,42,3,677
82,1,47,1,580
83,0,28,2,921
84,1,3,3,328
85,1,23,6,637
86,0,36,3,544
87,0,10,2,862
88,0,10,2,49
89,0,34,3,650
90,0,59,6,178
91,0,73,2,945
93,0,62,2,707
94,0,67,6,755
95,0,12,3,13
96,0,38,4,617
97,0,35,3,383
98,0,73,2,966
101,1,68,2,521
103,1,68,1,172
106,1,65,4,559
108,0,38,3,180
109,0,77,4,77
110,1,74,3,81
111,1,28,3,197
112,1,41,3,827
113,0,9,1,97
114,1,69,6,289
115,0,64,2,385
118,0,52,4,653
119,1,76,3,341
120,1,40,1,194
121,1,77,4,835
122,0,40,6,916
125,1,61,6,837
126,0,15,6,720
127,1,64,1,289
128,1,6,3,962
130,1,24,1,443
131,0,67,6,147
133,0,46,4,286
134,1,28,2,223
136,1,23,6,251
137,1,53,3,598
138,0,46,2,674
139,1,62,2,534
140,0,29,4,683
141,0,25,2,925
142,0,56,1,863
144,0,77,6,360
145,1,65,3,557
147,0,34,4,723
148,0,69,2,593
149,0,43,6,73
150,1,28,6,361
152,1,69,6,944
153,1,73,2,901
154,0,76,6,148
155,0,7,3,316
156,1,10,3,882
157,1,73,4,291
158,1,30,3,733
159,1,11,1,966
160,0,22,3,187
161,0,37,3,386
162,0,9,2,592
163,0,41,3,324
164,1,22,6,87
165,0,58,6,928
166,0,19,4,414
167,0,8,6,552
169,1,64,2,911
170,0,35,2,344
171,0,21,2,521
174,1,57,3,230
175,1,16,2,163
176,0,30,3,359
177,1,9,6,396
178,1,17,1,712
180,0,56,2,846
181,1,61,6,544
184,1,75,3,226
185,0,25,2,121
186,1,57,4,719
187,1,51,6,322
188,1,30,1,228
189,0,50,6,479
190,0,76,1,336
191,0,34,2,173
192,0,20,2,483
193,0,8,3,204
194,1,18,1,583
195,0,11,6,522
196,1,11,4,499
198,0,16,4,629
199,1,55,1,758
200,0,45,3,417
202,1,55,1,168
203,0,23,2,319
204,0,27,2,648
205,1,30,1,676
206,1,36,1,762
207,0,76,3,921
208,1,8,2,969
209,0,29,1,2
210,1,34,6,623
212,0,23,2,723
213,0,26,4,119
214,0,72,4,951
216,1,18,2,12
217,1,75,2,588
218,0,19,3,330
220,0,66,4,750
221,0,34,1,433
222,0,50,2,841
223,0,41,2,740
224,0,25,3,61
225,1,77,3,63
226,1,5,6,662
227,1,36,2,759
228,0,25,3,883
229,1,73,1,75
230,0,71,2,581
231,0,12,4,736
232,1,60,4,9
233,0,71,6,168
234,1,74,1,69
235,1,31,6,558
236,1,64,4,139
237,0,78,1,177
238,0,66,1,631
239,1,63,6,850
240,1,19,3,131
241,0,39,6,461
242,1,49,4,430
244,1,40,6,595
246,0,25,2,935
247,0,57,3,519
248,0,10,3,432
251,1,29,2,998
252,0,19,1,311
